Unnamed: 0,question,answer
2496,but im worried about tiger,why is that
2497,why is that,because he likes to scuba dive
2498,because he likes to scuba dive,whats wrong with that
2499,whats wrong with that,it can be dangerous
2500,it can be dangerous,you mean he could drown
2501,you mean he could drown,he shouldnt scuba dive until he retires
2502,he shouldnt scuba dive until he retires,but he dives to relax
2503,but he dives to relax,he might relax but it makes me nervous
2504,he might relax but it makes me nervous,if his wife doesnt mind you shouldnt mind
2505,did you watch that golf tournament,the one that tiger won
2506,the one that tiger won,how did he do it
2507,how did he do it,it was nothing for him
2508,it was nothing for him,he sank a 20foot putt on the last hole to win by one stroke
2509,he sank a 20foot putt on the last hole to win by one stroke,he sank a 25footer last year at the same tournament to win by one stroke
2510,he sank a 25footer last year at the same tournament to win by one stroke,i think he is from outer space
2511,i think he is from outer space,no human could possibly play golf that well
2512,no human could possibly play golf that well,whenever he needs a shot to win a tournament he makes that shot
2513,whenever he needs a shot to win a tournament he makes that shot,no human can do that
2514,no human can do that,somebody should check his birth record
2515,somebody should check his birth record,i bet it says he was born on mars
2516,whos the greatest baseball player,there are so many great players
2517,there are so many great players,yes but who is the greatest
2518,yes but who is the greatest,id have to say babe ruth
2519,id have to say babe ruth,most people would say that
2520,most people would say that,he changed the game
2521,he changed the game,yes he made the home run popular
2522,yes he made the home run popular,everybody loved him all over the nation
2523,everybody loved him all over the nation,he helped make the yankees the best team ever
2524,he helped make the yankees the best team ever,and ruth was a good person too
2525,and ruth was a good person too,he always visited hospitals to cheer up sick kids
2526,he always visited hospitals to cheer up sick kids,there will never be another babe
2527,did you hear what happened at the baseball game,no please tell me
2528,no please tell me,someone punched out someone
2529,someone punched out someone,thats not nice
2530,thats not nice,its worse than that
2531,its worse than that,how so
2532,how so,two guys got into an argument
2533,two guys got into an argument,ill bet they were drinking
2534,ill bet they were drinking,a third guy punched one of the two guys
2535,a third guy punched one of the two guys,ill bet he was drinking too
2536,ill bet he was drinking too,the victim hit his head on the concrete steps and died
2537,the victim hit his head on the concrete steps and died,thats terrible cant people just have fun at a baseball game
2538,i want to go to the ball game,is there a game tonight
2539,is there a game tonight,yes it starts at 7 pm
2540,yes it starts at 7 pm,can we get tickets
2541,can we get tickets,yes but only the cheap tickets
2542,yes but only the cheap tickets,how much are they
2543,how much are they,theyre only 5 each
2544,theyre only 5 each,thats a good price
2545,thats a good price,yes its cheaper than a hot dog or a beer
2546,yes its cheaper than a hot dog or a beer,where are the seats
2547,where are the seats,theyre behind the outfield
2548,theyre behind the outfield,maybe we can catch a home run ball
2549,golf is so hard,whats so hard about hitting a little white ball
2550,whats so hard about hitting a little white ball,its hard if you want to do it right
2551,its hard if you want to do it right,you mean like tiger
2552,you mean like tiger,no like a good amateur golfer
2553,no like a good amateur golfer,whats so hard about golf
2554,whats so hard about golf,there are so many things you have to do right
2555,there are so many things you have to do right,like what
2556,like what,like keep your left arm straight keep your head down and follow through
2557,like keep your left arm straight keep your head down and follow through,yikes who can remember all that
2558,yikes who can remember all that,you need to get a lot of lessons when youre really young
2559,you need to get a lot of lessons when youre really young,forget it golf sounds more like work than fun
